r_over_R,twist_deg,chord
0.76,2.57886758922892,0.060481749067355
0.765,2.5226353466676,0.060081022867623
0.77,2.46754477222799,0.059687774516625
0.775,2.41309806004155,0.059298743419697
0.78,2.35865134785513,0.05890971232277
0.785,2.30571834060625,0.058530428357438
0.79,2.252874110886,0.058151716053222
0.795,2.20055958762887,0.057776118082474
0.8,2.14911669775813,0.057405644755686
0.805,2.09767380788741,0.057035171428899
0.81,2.04743121006959,0.056672446208094
0.814999999999999,1.99727398006702,0.056310272052238
0.819999999999999,1.94781938471947,0.055952347550695
0.824999999999999,1.89882200063143,0.05559718834088
0.829999999999999,1.85022199138013,0.055244216023965
0.834999999999999,1.80224718793217,0.054894684433551
0.839999999999999,1.75452633465937,0.05454667296718
0.844999999999999,1.70746765738439,0.054202625229736
0.849999999999999,1.66062286006683,0.053859590090121
