station_idx,name,rR,zL,c,beta_deg,dxf_path,X_vert_cp,Y_horiz_cp,P,A,X_vert_min,X_vert_max,Y_horiz_min,Y_horiz_max,n_vertices
10,,0.4591009046559264,0.38182960532105864,0.09787255362711865,7.988510332928526,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_010_r0.459.dxf,0.17357636100914764,-0.31959580550351063,201.1998024875856,911.7024692273264,-7.11707599779198,10.952582890655831,-32.346223621869264,64.7041637004512,722
11,,0.5104487834832666,0.44051289540944744,0.08878932518918554,6.648818959861345,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_011_r0.510.dxf,0.1642029229259876,-0.2861743522384721,182.52711336347772,750.3308484924705,-6.050753279600985,9.492701375161978,-29.421320684149048,58.86700153376179,722
12,,0.5641870447110409,0.5019280510983323,0.0808282208079104,5.488723660382848,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_012_r0.564.dxf,0.15472379608780695,-0.2574353568612189,166.1612112823064,621.8094669932314,-5.226707791772082,8.357825941754735,-26.832225900842886,53.69744241425307,722
13,,0.6202137332897006,0.5659585523310864,0.07386020442176698,4.481126150500489,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_013_r0.620.dxf,0.1455002841827724,-0.2327198067305538,151.8368326013985,519.2210630955014,-4.582018879438751,7.451881747418287,-24.549739478274443,49.1381989203434,722
14,,0.6784389301140612,0.63250163441607,0.0677190680406868,3.6019121503736713,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_014_r0.678.dxf,0.13666097425361579,-0.2112980972114542,139.21229813149887,436.4688323351679,-4.068909383382441,6.7087654964081835,-22.527382588319803,45.09711586958428,722
15,,0.7387825542569543,0.7014657762936619,0.062232857390871366,2.8250478043688494,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_015_r0.739.dxf,0.12821071562660413,-0.1924592921696231,127.93411586036311,368.61310829497506,-3.649225596607532,6.081414905931305,-20.7135857749516,41.47164599105439,722
16,,0.8011726893027082,0.7727687877745236,0.057318589887428224,2.1370258240634588,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_016_r0.801.dxf,0.12020648993973215,-0.17583083210444883,117.83169578015426,312.6959718689287,-3.301228150792249,5.543981849473587,-19.08416295286928,38.21381317066051,722
17,,0.8655442832125206,0.8463363236714522,0.05280715227293649,1.5178713207197105,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_017_r0.866.dxf,0.11248929115240205,-0.16078534062076955,108.55738624870975,265.4096977112886,-3.002742271767302,5.067878677983389,-17.58509250496729,35.215838296082765,722
18,,0.9318381208872136,0.922100709585387,0.048354629073547706,0.9363263683848356,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_018_r0.932.dxf,0.1044935877103669,-0.14617540708407972,99.40418900301947,222.53965160336548,-2.724505873758867,4.612387961419443,-16.1032505329868,32.25152257580932,722
19,,1.0,1.0,0.043089963807692,0.315909961538458,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_019_r1.000.dxf,0.09452174264777749,-0.12924447968887876,88.58144480765475,176.71912400154497,-2.4115805244483526,4.088779668687233,-14.349192299535265,28.741558669696207,722
