b0,b1,b2,b3,b4,b5,Equation
747.1038869,-3532.960384,8049.84596,-11691.39917,10038.75684,-3660.363632,8050.0*x^2 - 3533.0*x - 11690.0*x^3 + 10040.0*x^4 - 3660.0*x^5 + 747.1
863.004446,-4266.27968,9736.041698,-13493.38208,10960.11592,-3853.302255,9736.0*x^2 - 4266.0*x - 13490.0*x^3 + 10960.0*x^4 - 3853.0*x^5 + 863.0
697.9412581,-2375.73143,1612.900996,3314.541981,-5905.853284,2726.391849,1613.0*x^2 - 2376.0*x + 3315.0*x^3 - 5906.0*x^4 + 2726.0*x^5 + 697.9
853.9170014,-3916.382911,7609.946457,-8338.254111,5354.745306,-1573.246746,7610.0*x^2 - 3916.0*x - 8338.0*x^3 + 5355.0*x^4 - 1573.0*x^5 + 853.9
559.6109672,-1752.450756,1972.243796,-1835.391612,2245.18887,-1222.10942,1972.0*x^2 - 1752.0*x - 1835.0*x^3 + 2245.0*x^4 - 1222.0*x^5 + 559.6
761.787198,-3598.216361,8139.710353,-11760.87826,10130.38774,-3727.645065,8140.0*x^2 - 3598.0*x - 11760.0*x^3 + 10130.0*x^4 - 3728.0*x^5 + 761.8
861.1155296,-4247.836215,9793.02998,-13975.42429,11805.89273,-4308.999222,9793.0*x^2 - 4248.0*x - 13980.0*x^3 + 11810.0*x^4 - 4309.0*x^5 + 861.1
677.1939369,-2913.051607,6055.141027,-8646.17602,7784.886895,-3005.361852,6055.0*x^2 - 2913.0*x - 8646.0*x^3 + 7785.0*x^4 - 3005.0*x^5 + 677.2
747.1843145,-2662.713449,2028.946933,3610.289489,-6985.281713,3352.511085,2029.0*x^2 - 2663.0*x + 3610.0*x^3 - 6985.0*x^4 + 3353.0*x^5 + 747.2
635.3984856,-1674.780825,-832.2968742,6871.75292,-7986.038794,3021.272868,6872.0*x^3 - 832.3*x^2 - 1675.0*x - 7986.0*x^4 + 3021.0*x^5 + 635.4
633.0041566,-2338.2265,3544.030432,-3586.043108,2916.890665,-1189.483561,3544.0*x^2 - 2338.0*x - 3586.0*x^3 + 2917.0*x^4 - 1189.0*x^5 + 633.0
890.4143624,-4652.823465,11425.34656,-16784.49046,13963.46723,-4904.758156,11430.0*x^2 - 4653.0*x - 16780.0*x^3 + 13960.0*x^4 - 4905.0*x^5 + 890.4
968.9167738,-4857.611955,10546.3503,-12799.63024,8690.555126,-2560.053738,10550.0*x^2 - 4858.0*x - 12800.0*x^3 + 8691.0*x^4 - 2560.0*x^5 + 968.9
727.2747652,-3411.15713,7889.039701,-11929.0205,10696.34118,-4034.574203,7889.0*x^2 - 3411.0*x - 11930.0*x^3 + 10700.0*x^4 - 4035.0*x^5 + 727.3
527.168193,-1443.251725,563.6821067,1560.841905,-1728.553977,535.9310184,563.7*x^2 - 1443.0*x + 1561.0*x^3 - 1729.0*x^4 + 535.9*x^5 + 527.2
794.6641109,-3606.655989,7305.782832,-9092.054738,7004.111475,-2439.754557,7306.0*x^2 - 3607.0*x - 9092.0*x^3 + 7004.0*x^4 - 2440.0*x^5 + 794.7
942.244997,-5002.569879,12415.84397,-18366.79938,15400.31432,-5468.205861,12420.0*x^2 - 5003.0*x - 18370.0*x^3 + 15400.0*x^4 - 5468.0*x^5 + 942.2
624.2520083,-2414.951612,4096.22013,-4631.061066,3627.306175,-1308.458395,4096.0*x^2 - 2415.0*x - 4631.0*x^3 + 3627.0*x^4 - 1308.0*x^5 + 624.3
