# NACA 63-415 Thickened Trailing edge 0.00625,
x,y
0.090424,-0.037877
0.092942,-0.038314
0.095491,-0.038747
0.098072,-0.039178
0.100682,-0.039606
0.103323,-0.040029
0.105995,-0.040446
0.108696,-0.040859
0.111427,-0.041269
0.114188,-0.041674
0.116978,-0.042074
0.119797,-0.042468
0.122645,-0.042859
0.125522,-0.043245
0.128428,-0.043628
0.131361,-0.044005
0.134323,-0.044377
0.137313,-0.044744
0.14033,-0.045107
0.143375,-0.045464
0.146447,-0.045817
0.149545,-0.046165
0.152671,-0.046506
0.155823,-0.04684
0.159001,-0.04717
0.162205,-0.047496
0.165435,-0.047818
0.16869,-0.048133
0.17197,-0.048439
0.175276,-0.04874
0.178606,-0.049036
0.181961,-0.049325
0.18534,-0.049605
0.188743,-0.049879
0.192169,-0.050149
0.195619,-0.050413
0.199093,-0.050668
0.202589,-0.050916
0.206107,-0.051158
0.209649,-0.051394
0.213212,-0.051623
0.216797,-0.051843
0.220404,-0.052054
0.224032,-0.052257
0.227681,-0.052457
0.23135,-0.052651
0.23504,-0.052835
0.238751,-0.05301
0.242481,-0.053176
0.246231,-0.053337
0.25,-0.053491
0.253788,-0.053638
0.257595,-0.053776
0.261421,-0.053906
0.265264,-0.05403
0.269126,-0.054146
0.273005,-0.054252
0.276901,-0.054349
0.280814,-0.054438
0.284745,-0.054518
0.288691,-0.054587
0.292653,-0.054644
0.296632,-0.054695
0.300626,-0.054739
0.304634,-0.05477
0.308658,-0.054791
0.312697,-0.054803
0.316749,-0.054804
0.320816,-0.054793
0.324896,-0.05477
0.32899,-0.054739
0.333097,-0.054698
0.337216,-0.054642
0.341348,-0.054574
0.345492,-0.054498
0.349647,-0.054411003
0.353814,-0.054312171
0.357992,-0.054203596
0.362181,-0.054081281
0.366381,-0.053945228
0.370591,-0.053799437
0.37481,-0.053644912
0.379039,-0.053480654
0.383277,-0.053303664
0.387524,-0.053115943
0.39178,-0.052917495
0.396044,-0.052708319
0.400316,-0.052485418
0.404596,-0.052250792
0.408882,-0.052008441
0.413176,-0.051757369
0.417476,-0.051494575
0.421783,-0.051221061
0.426095,-0.050936827
0.430413,-0.050642874
0.434737,-0.050338203
0.439065,-0.050023814
0.443398,-0.049701707
0.447736,-0.049370885
0.452077,-0.049030345
0.456422,-0.048681089
0.46077,-0.048325117
0.465122,-0.04795843
0.469476,-0.047583026
0.473832,-0.047200905
0.47819,-0.046811068
0.48255,-0.046411515
0.486912,-0.046004247
0.491274,-0.045591259
0.495637,-0.045170553
0.5,-0.044745129
0.504363,-0.044311985
0.508726,-0.043870122
0.513089,-0.04342154
0.51745,-0.042969233
0.52181,-0.042513204
0.526168,-0.042050451
0.530524,-0.041581972
0.534878,-0.041107768
0.53923,-0.040628837
0.543578,-0.040144174
0.547923,-0.039654782
0.552264,-0.039161655
0.556602,-0.038666798
0.560935,-0.038166202
0.565263,-0.037660868
0.569587,-0.037155796
0.573905,-0.036644981
0.578217,-0.03612742
0.582524,-0.035609116
0.586824,-0.035092061
0.591118,-0.034570257
0.595405,-0.0340447
0.599684,-0.033515384
0.603956,-0.032984312
0.60822,-0.032452479
0.612476,-0.031920882
0.616723,-0.031387518
0.620961,-0.030850383
0.62519,-0.030312476
0.62941,-0.029773796
0.633619,-0.029235332
0.637819,-0.028697091
0.642008,-0.028156063
0.646186,-0.027613246
0.650353,-0.027073636
0.654509,-0.026536234
0.658652,-0.025999027
0.662784,-0.025463022
0.666903,-0.024927208
0.67101,-0.024391587
0.675104,-0.023858152
0.679184,-0.023326896
0.683251,-0.022799822
0.687303,-0.022273917
