b0,b1,b2,b3,b4,b5,Equation
13.58582185,-31.85525829,18.55350954,0.170033905,1.781123844,-2.45183056,18.55*x^2 - 31.86*x + 0.17*x^3 + 1.781*x^4 - 2.452*x^5 + 13.59
10.64780513,-15.12016015,-22.94087815,57.92981596,-41.74679546,10.8409712,57.93*x^3 - 22.94*x^2 - 15.12*x - 41.75*x^4 + 10.84*x^5 + 10.65
20.22202416,-72.5230207,103.7642984,-66.66389032,5.455266994,10.01146863,103.8*x^2 - 72.52*x - 66.66*x^3 + 5.455*x^4 + 10.01*x^5 + 20.22
14.46231366,-9.265305134,-139.1301516,371.5821906,-377.0088764,140.9056424,371.6*x^3 - 139.1*x^2 - 9.265*x - 377.0*x^4 + 140.9*x^5 + 14.46
19.87770746,-63.79017357,68.26676635,-12.34774028,-27.48479832,15.34792371,68.27*x^2 - 63.79*x - 12.35*x^3 - 27.48*x^4 + 15.35*x^5 + 19.88
12.65574605,-25.06793795,-10.24223527,64.89830275,-66.18360605,23.87088888,64.9*x^3 - 10.24*x^2 - 25.07*x - 66.18*x^4 + 23.87*x^5 + 12.66
22.90027013,-54.99406913,-56.10897134,331.0043208,-413.1912408,173.3582509,331.0*x^3 - 56.11*x^2 - 54.99*x - 413.2*x^4 + 173.4*x^5 + 22.9
10.47178524,-0.481659495,-41.43441858,-44.50210824,193.5230572,-122.4898042,193.5*x^4 - 41.43*x^2 - 44.5*x^3 - 0.4817*x - 122.5*x^5 + 10.47
10.85564947,-7.185983716,-52.90842987,80.85605546,-22.31026689,-10.80853086,80.86*x^3 - 52.91*x^2 - 7.186*x - 22.31*x^4 - 10.81*x^5 + 10.86
21.90813535,-83.01257515,150.7562609,-190.5206098,157.9233444,-58.44822693,150.8*x^2 - 83.01*x - 190.5*x^3 + 157.9*x^4 - 58.45*x^5 + 21.91
12.04788643,-23.81249969,-5.601779758,48.66078793,-49.66653045,18.3253849,48.66*x^3 - 5.602*x^2 - 23.81*x - 49.67*x^4 + 18.33*x^5 + 12.05
14.82403274,-29.65002313,-14.8280899,77.85489308,-68.46558296,20.0003061,77.85*x^3 - 14.83*x^2 - 29.65*x - 68.47*x^4 + 20.0*x^5 + 14.82
